"t" "Tt" "Vt" "dt" "Vdt"
31045 4.5 0.23738 20 -7.49999999999917e-06
31065 4.5 0.2373 20 -3.99999999999984e-06
31085 4.5 0.23719 20 -5.49999999999995e-06
31105 4.5 0.23706 20 -6.50000000000095e-06
31125 4.5 0.23714 20 3.99999999999984e-06
31145 4.5 0.23724 20 5.00000000000084e-06
31165 4.5 0.23738 20 7.00000000000006e-06
31185 4.5 0.2372 20 -9.00000000000067e-06
31205 4.5 0.23682 20 -1.89999999999996e-05
31225 4.5 0.23671 20 -5.49999999999995e-06
31245 4.5 0.23653 20 -9.00000000000067e-06
31265 4.5 0.23638 20 -7.49999999999917e-06
31285 4.5 0.23633 20 -2.49999999999972e-06
31305 4.5 0.23631 20 -1.000000000001e-06
31325 4.5 0.23638 20 3.50000000000072e-06
31345 4.5 0.2363 20 -3.99999999999984e-06
31365 4.5 0.23629 20 -5.000000000005e-07
31385 4.5 0.23628 20 -5.000000000005e-07
31405 4.5 0.23632 20 2.00000000000061e-06
31425 4.5 0.23635 20 1.50000000000011e-06
31445 4.5 0.23633 20 -9.99999999999612e-07
31465 4.5 0.23643 20 4.99999999999945e-06
31485 4.5 0.23658 20 7.50000000000056e-06
31505 4.5 0.23663 20 2.49999999999972e-06
31525 4.5 0.2367 20 3.49999999999934e-06
31545 4.5 0.23656 20 -7.00000000000006e-06
31565 4.5 0.23624 20 -1.59999999999993e-05
31585 4.5 0.23622 20 -9.99999999999612e-07
31605 4.5 0.23631 20 4.49999999999895e-06
31625 4.5 0.23643 20 6.00000000000045e-06
31645 4.5 0.23648 20 2.49999999999972e-06
31665 4.5 0.23664 20 7.99999999999967e-06
31685 4.5 0.23692 20 1.40000000000001e-05
31705 4.5 0.23694 20 1.000000000001e-06
31725 4.5 0.2369 20 -2.00000000000061e-06
31745 4.5 0.23694 20 2.00000000000061e-06
31765 4.5 0.23713 20 9.49999999999979e-06
31785 4.5 0.23733 20 1.00000000000003e-05
31805 4.5 0.23732 20 -5.000000000005e-07
31825 4.5 0.23728 20 -2.00000000000061e-06
31845 4.5 0.23718 20 -4.99999999999945e-06
31865 4.5 0.23684 20 -1.70000000000003e-05
31885 4.5 0.23654 20 -1.49999999999997e-05
31905 4.5 0.23643 20 -5.49999999999995e-06
31925 4.5 0.23653 20 4.99999999999945e-06
31945 4.5 0.23683 20 1.50000000000011e-05
31965 4.5 0.23709 20 1.29999999999991e-05
31985 4.5 0.23725 20 7.99999999999967e-06
32005 4.5 0.23715 20 -4.99999999999945e-06
32025 4.5 0.23702 20 -6.49999999999956e-06
